year,count,cumsum
1936,1,1
1937,1,2
1943,1,3
1945,1,4
1946,1,5
1948,1,6
1949,5,11
1950,1,12
1951,1,13
1952,2,15
1954,3,18
1955,1,19
1956,5,24
1957,5,29
1958,6,35
1959,9,44
1960,3,47
1961,3,50
1962,5,55
1963,5,60
1964,6,66
1965,1,67
1967,11,78
1968,2,80
1969,8,88
1970,11,99
1971,6,105
1972,7,112
1973,5,117
1974,8,125
1975,11,136
1976,16,152
1977,9,161
1978,9,170
1979,6,176
1980,13,189
1981,9,198
1982,6,204
1983,7,211
1984,10,221
1985,23,244
1986,16,260
1987,8,268
1988,9,277
1989,15,292
1990,4,296
1991,7,303
1992,8,311
1993,8,319
1994,12,331
1995,6,337
1996,14,351
1997,13,364
1998,11,375
1999,12,387
2000,5,392
2001,7,399
2002,14,413
2003,8,421
2004,17,438
2005,23,461
2006,17,478
2007,23,501
2008,19,520
2009,20,540
2010,40,580
2011,48,628
2012,44,672
2013,51,723
2014,69,792
2015,163,955
2016,627,1582
2017,888,2470
2018,806,3276
